,loss,mean_io_u,val_loss,val_mean_io_u
0,0.05472220480442047,0.5442793965339661,0.0348457507789135,0.7057408690452576
1,0.03645934537053108,0.6131844520568848,0.03458070382475853,0.5593169927597046
2,0.031289130449295044,0.6730514764785767,0.03151237964630127,0.5040092468261719
3,0.028056921437382698,0.6999597549438477,0.04235931485891342,0.6567578911781311
4,0.02599676512181759,0.7310100793838501,0.025659319013357162,0.7750722169876099
5,0.02320282720029354,0.7658790349960327,0.02511325478553772,0.8424842357635498
6,0.019989054650068283,0.807077169418335,0.026069998741149902,0.750802755355835
7,0.018631020560860634,0.8242093324661255,0.02284441888332367,0.8950685262680054
8,0.017296291887760162,0.8505152463912964,0.02472865581512451,0.8971817493438721
9,0.01536854263395071,0.8666552305221558,0.024149812757968903,0.8492745757102966
10,0.01519264467060566,0.8690381050109863,0.02450927160680294,0.9065600633621216
11,0.014025977812707424,0.8791866302490234,0.02275731973350048,0.8926501274108887
12,0.012176580727100372,0.902111828327179,0.02054523304104805,0.9030662178993225
13,0.011762168258428574,0.903579831123352,0.022852670401334763,0.9412698149681091
14,0.011237295344471931,0.9111334085464478,0.020490460097789764,0.925585925579071
15,0.010623074136674404,0.9163364768028259,0.021586723625659943,0.923253059387207
16,0.009734065271914005,0.9269838333129883,0.022749273106455803,0.885842502117157
17,0.010228820145130157,0.9194279909133911,0.032684799283742905,0.9654420614242554
18,0.009231737814843655,0.9287142157554626,0.02794143557548523,0.9584628343582153
19,0.009577978402376175,0.9244186878204346,0.017652777954936028,0.8052717447280884
