,loss,mean_io_u,val_loss,val_mean_io_u
0,0.047867972403764725,0.5920895934104919,0.03787297010421753,0.5399351119995117
1,0.02993597649037838,0.6461524963378906,0.03483601659536362,0.4227055311203003
2,0.026328079402446747,0.6788827180862427,0.027689775452017784,0.7380521297454834
3,0.023301152512431145,0.7293423414230347,0.021687721833586693,0.6312117576599121
4,0.02056034281849861,0.7783263325691223,0.025202928110957146,0.48724108934402466
5,0.018352719023823738,0.8066093921661377,0.022540897130966187,0.8282485008239746
6,0.016785698011517525,0.8299684524536133,0.02120296098291874,0.4373576045036316
7,0.015251080505549908,0.8563300371170044,0.022081568837165833,0.8302183151245117
8,0.013999084010720253,0.8697440028190613,0.02108137309551239,0.8860198259353638
9,0.012752063572406769,0.885267972946167,0.02201886847615242,0.9184316992759705
10,0.011711625382304192,0.9014958143234253,0.021641535684466362,0.8077356815338135
11,0.010819158516824245,0.9088456034660339,0.021783549338579178,0.8959388732910156
12,0.010361796244978905,0.9187601804733276,0.019418079406023026,0.8742696046829224
13,0.009923938661813736,0.9204526543617249,0.018785400316119194,0.9275009036064148
14,0.009435529820621014,0.9252679944038391,0.024391155689954758,0.9430109858512878
15,0.008999391458928585,0.9310289025306702,0.021270601078867912,0.9384700655937195
16,0.008069067262113094,0.9401909112930298,0.020709658041596413,0.8995994329452515
17,0.00851864367723465,0.9313769340515137,0.01813586615025997,0.9290732145309448
18,0.008161818608641624,0.9336824417114258,0.018376855179667473,0.9479812979698181
19,0.0070304274559021,0.9509066939353943,0.02065647579729557,0.9519504308700562
