,loss,mean_io_u,val_loss,val_mean_io_u
0,0.05065826699137688,0.6045358180999756,0.034413933753967285,0.5439159870147705
1,0.030165372416377068,0.6487546563148499,0.031351637095212936,0.7162487506866455
2,0.02680339850485325,0.6983497142791748,0.024553002789616585,0.6466659307479858
3,0.02361745946109295,0.7392188906669617,0.03130970895290375,0.8600423336029053
4,0.021475739777088165,0.7594701051712036,0.026594296097755432,0.8748960494995117
5,0.018950924277305603,0.8016276955604553,0.020714055746793747,0.8255096077919006
6,0.017252597957849503,0.8264051675796509,0.024770185351371765,0.8849674463272095
7,0.01591954194009304,0.8451439142227173,0.021962137892842293,0.9186151027679443
8,0.014261733740568161,0.8678615689277649,0.021374575793743134,0.8477249145507812
9,0.012950196862220764,0.8823243379592896,0.019852418452501297,0.8998304605484009
10,0.012281827628612518,0.8933040499687195,0.01858285441994667,0.8904326558113098
11,0.011244095861911774,0.9053429365158081,0.022352363914251328,0.7451424598693848
12,0.01070360466837883,0.9122634530067444,0.020093288272619247,0.9267694354057312
13,0.010267029516398907,0.9175536632537842,0.02099030092358589,0.9279364347457886
14,0.009324708953499794,0.9275037050247192,0.02394811064004898,0.9535099267959595
15,0.00863736867904663,0.9373400211334229,0.018858658149838448,0.9182987213134766
16,0.009135711006820202,0.9258497953414917,0.020598148927092552,0.9505292177200317
17,0.007968726567924023,0.9409270882606506,0.02697697840631008,0.9302261471748352
18,0.007344233337789774,0.9478515386581421,0.01925431564450264,0.9455668926239014
19,0.007969568483531475,0.9383812546730042,0.021439243108034134,0.9483369588851929
