,loss,accuracy,val_loss,val_accuracy
0,1.0717812776565552,0.39116203784942627,0.9624776244163513,0.4901960790157318
1,0.9063760042190552,0.5379160046577454,0.8096744418144226,0.601307213306427
2,0.7380980849266052,0.6734861135482788,0.6945568323135376,0.7058823704719543
3,0.6675776839256287,0.7122204303741455,0.6404887437820435,0.7222222089767456
4,0.6288541555404663,0.7370430827140808,0.6226949095726013,0.7320261597633362
5,0.6075763702392578,0.7482269406318665,0.6577261686325073,0.7026143670082092
6,0.5661096572875977,0.7613202333450317,0.7303993701934814,0.6928104758262634
7,0.5526933670043945,0.7719585299491882,0.6204306483268738,0.7320261597633362
8,0.5244960188865662,0.7883251309394836,0.6204689145088196,0.7385621070861816
9,0.5005369782447815,0.7954173684120178,0.6543092131614685,0.758169949054718
10,0.47488024830818176,0.8036006689071655,0.6769801378250122,0.7647058963775635
11,0.4655529856681824,0.8104200959205627,0.6627803444862366,0.7483659982681274
12,0.4336402118206024,0.8218767046928406,0.8440901041030884,0.7091503143310547
13,0.4067590832710266,0.8311511278152466,0.6431544423103333,0.7450980544090271
14,0.36336278915405273,0.8505182862281799,0.8177558779716492,0.6993464231491089
15,0.34433528780937195,0.8617021441459656,0.9314471483230591,0.7058823704719543
16,0.31603744626045227,0.8707037568092346,0.8566383123397827,0.7450980544090271
17,0.2731893062591553,0.8925259113311768,0.9200934171676636,0.6993464231491089
18,0.25065314769744873,0.902073085308075,1.0871176719665527,0.7058823704719543
19,0.22343143820762634,0.9102563858032227,0.9817683696746826,0.7254902124404907
