,loss,accuracy,val_loss,val_accuracy
0,0.8599658608436584,0.6064285635948181,0.6250929832458496,0.7450980544090271
1,0.5868188738822937,0.7557142972946167,0.5803344249725342,0.6993464231491089
2,0.44937101006507874,0.8188571333885193,0.5106918811798096,0.8202614188194275
3,0.3577529191970825,0.8608571290969849,0.4168283939361572,0.8235294222831726
4,0.30635708570480347,0.8847143054008484,0.3922482132911682,0.8300653696060181
5,0.2652300298213959,0.8965714573860168,0.31223243474960327,0.843137264251709
6,0.23293636739253998,0.913428544998169,0.3198089003562927,0.8529411554336548
7,0.21389593183994293,0.9204285740852356,0.3577745258808136,0.826797366142273
8,0.19042423367500305,0.9268571138381958,0.3249492049217224,0.843137264251709
9,0.1599349081516266,0.9424285888671875,0.35078132152557373,0.8594771027565002
10,0.14838670194149017,0.9454285502433777,0.3451915681362152,0.8464052081108093
11,0.14838775992393494,0.9445714354515076,0.4044640362262726,0.8039215803146362
12,0.13653218746185303,0.9558571577072144,0.3918039798736572,0.8333333134651184
13,0.10700574517250061,0.9624285697937012,0.3587980568408966,0.8333333134651184
14,0.10654287785291672,0.9625714421272278,0.46597275137901306,0.8366013169288635
15,0.10725212842226028,0.9647142887115479,0.5297845005989075,0.8333333134651184
16,0.09406957775354385,0.9671428799629211,0.5542970299720764,0.8333333134651184
17,0.08889518678188324,0.9662857055664062,0.416751503944397,0.8366013169288635
18,0.0957711711525917,0.9660000205039978,0.5818461775779724,0.8366013169288635
19,0.07818876206874847,0.9702857136726379,0.5169507265090942,0.8169934749603271
