,loss,mean_io_u,val_loss,val_mean_io_u
0,0.06051282212138176,0.5938680171966553,0.03649156913161278,0.6756932139396667
1,0.03692805767059326,0.5899441242218018,0.03014516271650791,0.6836222410202026
2,0.031816452741622925,0.6470260620117188,0.029150957241654396,0.38930821418762207
3,0.028606990352272987,0.6949892044067383,0.026035351678729057,0.7424428462982178
4,0.02516547404229641,0.7239269018173218,0.02433396875858307,0.8373873829841614
5,0.023454084992408752,0.7599046230316162,0.02610696107149124,0.7637753486633301
6,0.020618585869669914,0.7940468788146973,0.023551596328616142,0.7036475539207458
7,0.019420212134718895,0.8152517080307007,0.023231739178299904,0.8667693734169006
8,0.016222847625613213,0.8570613861083984,0.026005130261182785,0.8941657543182373
9,0.01567251794040203,0.8626170754432678,0.019786810502409935,0.9118966460227966
10,0.014219149947166443,0.8783877491950989,0.02008683606982231,0.7946775555610657
11,0.013184545561671257,0.8927173614501953,0.028565416112542152,0.8956045508384705
12,0.013235094957053661,0.8873451352119446,0.023451151326298714,0.9297500848770142
13,0.01209087111055851,0.9022895097732544,0.022090857848525047,0.8474442958831787
14,0.010848170146346092,0.9187628626823425,0.022203100845217705,0.9186277389526367
15,0.010495625436306,0.9181079864501953,0.022666078060865402,0.894557774066925
16,0.009575994685292244,0.9253544807434082,0.02595285326242447,0.9504041075706482
17,0.009907850995659828,0.9250192642211914,0.02109697088599205,0.9254310131072998
18,0.008561204187572002,0.9360424280166626,0.02070767804980278,0.9448928236961365
19,0.008568104356527328,0.9365514516830444,0.024789562448859215,0.9062303304672241
